Country or Area,M49 code,ISO-alpha3 code
Åland Islands,248,ALA
Albania,8,ALB
Andorra,20,AND
Australia,36,AUS
Austria,40,AUT
Belarus,112,BLR
Belgium,56,BEL
Bermuda,60,BMU
Bosnia and Herzegovina,70,BIH
Bulgaria,100,BGR
Canada,124,CAN
Christmas Island,162,CXR
Cocos (Keeling) Islands,166,CCK
Croatia,191,HRV
Cyprus,196,CYP
Czechia,203,CZE
Denmark,208,DNK
Estonia,233,EST
Faroe Islands,234,FRO
Finland,246,FIN
France,250,FRA
Germany,276,DEU
Gibraltar,292,GIB
Greece,300,GRC
Greenland,304,GRL
Guernsey,831,GGY
Heard Island and McDonald Islands,334,HMD
Holy See,336,VAT
Hungary,348,HUN
Iceland,352,ISL
Ireland,372,IRL
Isle of Man,833,IMN
Israel,376,ISR
Italy,380,ITA
Japan,392,JPN
Jersey,832,JEY
Latvia,428,LVA
Liechtenstein,438,LIE
Lithuania,440,LTU
Luxembourg,442,LUX
Malta,470,MLT
Monaco,492,MCO
Montenegro,499,MNE
Netherlands,528,NLD
New Zealand,554,NZL
Norfolk Island,574,NFK
Norway,578,NOR
Poland,616,POL
Portugal,620,PRT
Republic of Moldova,498,MDA
Romania,642,ROU
Russian Federation,643,RUS
Saint Pierre and Miquelon,666,SPM
San Marino,674,SMR
Sark,680,
Serbia,688,SRB
Slovakia,703,SVK
Slovenia,705,SVN
Spain,724,ESP
Svalbard and Jan Mayen Islands,744,SJM
Sweden,752,SWE
Switzerland,756,CHE
The former Yugoslav Republic of Macedonia,807,MKD
Ukraine,804,UKR
United Kingdom of Great Britain and Northern Ireland,826,GBR
United States of America,840,USA
